ref51	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;alactolyticus;
ref52	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Alkalispirochaeta;cellulosivorans;
ref53	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Shouchella;
ref54	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mitis;
ref55	Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Candidatus Endonucleariobacter;rarus;
ref56	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Rhodoplanes;oryzae;
ref57	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;
ref58	Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;
ref59	Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;
ref60	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pyogenes;
ref61	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas;
ref62	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Colwelliaceae;Colwellia;maris;
ref63	Bacteria;Cyanobacteriota;Cyanobacteriia;Phormidesmiales;Nodosilineaceae;Nodosilinea PCC-7104;
ref64	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Halalkalibacterium;
ref65	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;
ref66	Bacteria;Bacillota;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae;Thermoflavimicrobium;
ref67	Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Nocardiaceae;Nocardia;
ref68	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;geocarposphaerae;
ref69	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pneumoniae;
ref70	Bacteria;Cyanobacteriota;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya PCC-6306;
ref71	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Blastomonas;
ref72	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;
ref73	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;
ref74	Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Natronincolaceae;Alkaliphilus;
ref75	Bacteria;Bacillota;Bacilli;Bacillales;Sporolactobacillaceae;
ref76	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium;
ref77	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;marcescens;
ref78	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;
ref79	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis;
ref80	Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae;Clostridium;saudiense;
ref81	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;coli;
ref82	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
ref83	Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Dietziaceae;Dietzia;
ref84	Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Phormidium IAM M-71;ambiguum;
ref85	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;porcinus;
ref86	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;
ref87	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
ref88	Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae;Clostridium;
ref89	Bacteria;Bacillota;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae;Polycladomyces;
ref90	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus;
ref91	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;canis;
ref92	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;
ref93	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;
ref94	Bacteria;Chlamydiota;Chlamydiia;Chlamydiales;Parachlamydiaceae;Candidatus Rubidus;massiliensis;
ref95	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharomonospora;
ref96	Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Paraspirulinaceae;Spirulina PCC-9445;subsalsa;
ref97	Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae;Clostridium;perfringens;
ref98	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;[Clostridium] methylpentosum group;
